id,date,league_id,home_team_id,away_team_id,home_elo,away_elo,h_rest_days,h_avg_xg_for_last_5,h_avg_xg_against_last_5,h_avg_ppda_last_5,h_avg_deep_last_5,h_avg_goals_scored_last_5,h_avg_goals_conceded_last_5,h_avg_points_last_5,h_xg_diff_last_5,a_rest_days,a_avg_xg_for_last_5,a_avg_xg_against_last_5,a_avg_ppda_last_5,a_avg_deep_last_5,a_avg_goals_scored_last_5,a_avg_goals_conceded_last_5,a_avg_points_last_5,a_xg_diff_last_5,elo_diff,rest_days_diff,h2h_home_pts,day_of_week,month,target_outcome,target_total_2_5,target_home_goals,target_away_goals
4490,2020-09-27 13:00:00,3,59,72,1506.45605469,1653.35571289,7.0,0.4348705,2.642865,20.55126050420168,3.75,0.25,2.0,0.0,-2.2079945,7.0,1.4716909999999999,1.2766552500000001,13.496893939393939,4.25,2.5,1.25,2.25,0.19503574999999973,-146.89965819999998,0.0,1.0,6,9,1,1,2,2
4492,2020-09-27 13:00:00,3,65,64,1614.73913574,1567.65820312,7.0,1.48821325,1.106276,10.937807903597378,6.5,1.5,1.25,1.75,0.38193725,7.0,1.05943625,1.632496,14.054239130434782,5.5,0.5,1.75,0.75,-0.5730597499999999,47.080932619999885,0.0,1.0,6,9,2,1,3,2
25,2020-09-27 13:00:00,1,9,8,1811.04370117,1500.0,7.0,1.551492,1.7725050000000002,11.057971014492754,6.0,2.5,1.5,1.5,-0.22101300000000013,7.0,1.0898940000000001,1.3690225,18.067099567099568,6.5,1.0,1.5,1.5,-0.2791284999999999,311.0437011700001,0.0,1.0,6,9,1,0,1,1
6481,2020-09-27 13:30:00,4,91,84,1742.95385742,1500.0,8.0,2.9032,2.40801,11.541666666666666,10.0,3.0,2.0,3.0,0.49519,8.0,4.62088,0.14975,6.34375,24.0,8.0,0.0,3.0,4.47113,242.95385742000008,0.0,1.0,6,9,2,1,4,1
4491,2020-09-27 15:00:00,3,63,71,1486.57568359,1724.17407227,7.0,1.4265732500000001,1.2299815,8.957706369517876,1.75,1.75,2.25,0.75,0.19659175000000007,8.0,2.39113,0.7283255,5.701587900117311,12.0,1.25,0.75,1.25,1.6628045,-237.59838867999997,-1.0,1.0,6,9,1,0,1,1
23,2020-09-27 15:30:00,1,20,12,1500.0,1775.52526855,5.0,2.07651,0.727677,7.6,9.0,3.0,1.0,3.0,1.348833,6.0,1.9715875,0.9385185,9.0,8.5,3.5,1.0,3.0,1.033069,-275.52526854999996,-1.0,1.0,6,9,0,1,2,5
6480,2020-09-27 16:00:00,4,95,100,1674.74511719,1722.1920166,8.0,2.07011,2.15741,12.11111111111111,4.0,3.0,2.0,3.0,-0.08729999999999993,7.0,1.27652,0.441229,11.64516129032258,7.0,0.0,0.0,1.0,0.8352910000000001,-47.446899410000015,1.0,1.0,6,9,1,0,1,1
8251,2020-09-27 16:00:00,5,118,113,1771.58972168,1561.43981934,7.0,1.54079,0.160985,12.173913043478262,7.0,2.0,0.0,3.0,1.3798050000000002,7.0,2.23283,1.32278,8.9375,4.0,4.0,1.0,3.0,0.9100499999999998,210.14990233999993,0.0,1.0,6,9,2,1,6,0
8250,2020-09-27 16:00:00,5,114,121,1497.87792969,1500.0,7.0,1.32278,2.23283,9.424242424242424,4.0,1.0,4.0,0.0,-0.9100499999999998,5.0,2.94224,0.825483,9.26086956521739,6.0,2.0,0.0,3.0,2.1167569999999998,-2.1220703100000264,2.0,1.0,6,9,0,0,0,2
2254,2020-09-27 16:30:00,2,37,32,1500.0,1500.0,7.0,0.5744564999999999,1.039765,9.660714285714286,2.0,0.5,1.5,0.5,-0.4653085000000001,7.0,1.5594965,0.4003255,7.318181818181818,5.0,1.0,0.5,2.0,1.1591710000000002,0.0,0.0,1.0,6,9,1,0,1,1
